Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers,Duration,Site
English for Journalism,https://www.coursera.org/learn/journalism,"Welcome to English for Journalism, a course created by the University of Pennsylvania, and funded by the U.S. Department of State Bureau of Educational and Cultural Affairs, Office of English Language Programs. ",Language Learning,Learning English,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish","English Grammar,News Reporting,English Language,Broadcast,",John Cotton,4.8stars,"2,567",Approx. 42 hours to complete,Coursera
The Power of Statistics,https://www.coursera.org/learn/the-power-of-statistics,"This is the fourth of seven courses in the Google Advanced Data Analytics Certificate. In this course, you’ll discover how data professionals use statistics to analyze data and gain important insights. You'll explore key concepts such as descriptive and inferential statistics, probability, sampling, confidence intervals, and hypothesis testing. You'll also learn how to use Python for statistical analysis and practice communicating your findings like a data professional. ",Data Science,Probability and Statistics,Course,English,Subtitles: English,"Statistical Analysis,Python Programming,Effective Communication,Statistical Hypothesis Testing,Probability Distribution,",Google Career Certificates,4.9stars,26,Approx. 33 hours to complete,Coursera
Visual Elements of User Interface Design,https://www.coursera.org/learn/visual-elements-user-interface-design,"This design-centric course examines the broad question of what an interface is and what role a designer plays in creating a user interface. Learning how to design and articulate meaning using color, type, and imagery is essential to making interfaces function clearly and seamlessly. Through a series of lectures and visual exercises, you will focus on the many individual elements and components that make up the skillset of an interface designer. By the end of this course, you will be able to describe the key formal elements of clear, consistent, and intuitive UI design, and apply your learned skills to the design of a static screen-based interface.",Arts and Humanities,Music and Art,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","User Interface Design (UI Design),User Experience (UX),Graphic Design,",Michael Worthington,4.7stars,"5,482",Approx. 16 hours to complete,Coursera
Work Smarter with Microsoft Excel,https://www.coursera.org/learn/microsoft-excel-work-smarter,"This course is intended for learners with some experience using Microsoft Windows, who are seeking to build presentation skills with Microsoft Excel. To be successful in this course you should have an understanding of the basics of using a Windows-based computer. Experience with printing and using a web browser are an asset, but not required.",Business,Business Essentials,Course,English,Subtitles: English,"Microsoft Excel,Chart,Worksheet,",Microsoft,4.7stars,895,Approx. 20 hours to complete,Coursera
Supply Chain Logistics,https://www.coursera.org/learn/supply-chain-logistics,"Have you ever wondered how goods get delivered to us so quickly as soon as we order them? One word: Logistics! In this introductory Supply Chain Logistics course, I will take you on a journey to this fascinating backbone of global trade. We cover the three major building blocks of logistics networks: transportation, warehousing, and inventory. After completing this course, you will be able to differentiate the advantages and disadvantages of different modes of transportation. You will understand what goes into designing and setting up a warehousing facility. Finally, you will be able to select the options that enable you to develop logistics networks, that minimize costs and deliver top customer service. This is an introductory course designed to provide you with a start on your learning journey in logistics. You do not need to have any background in logistics, but it would be beneficial if you had a basic understanding of business concepts. Join me and we will learn together about logistics!",Business,Business Essentials,Course,English,"Subtitles: Arabic, French, Portuguese (European), Greek, Italian, Vietnamese, German, Russian, Turkish, English, Spanish, Hungarian","Warehouse Management,Logistics Planning,Supply Chain,Inventory,","Rudolf Leuschner, Ph.D.",4.8stars,"9,745",Approx. 8 hours to complete,Coursera
Teamwork Skills: Communicating Effectively in Groups,https://www.coursera.org/learn/teamwork-skills-effective-communication,"Recently revised and updated!  Effective teamwork and group communication are essential for your professional and personal success.  In this course you will learn to: make better decisions, be more creative and innovative, manage conflict and work with difficult group members, negotiate for preferred outcomes, improve group communication in virtual environments, develop a better overall understanding of human interaction, and work more effectively as a team.  Our goal is to help you understand these important dynamics of group communication and learn how to put them into practice to improve your overall teamwork.",Business,Leadership and Management,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","teamwork,diversity,Communication,Conflict Management,technology,","Matthew A. Koschmann, PhD",4.7stars,"3,071",Approx. 11 hours to complete,Coursera
Exploratory Data Analysis for Machine Learning,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning,"This first course in the IBM Machine Learning Professional Certificate introduces you to Machine Learning and the content of the professional certificate. In this course you will realize the importance of good, quality data. You will learn common techniques to retrieve your data, clean it, apply feature engineering, and have it ready for preliminary analysis and hypothesis testing.",Data Science,Machine Learning,Course,English,Subtitles: English,"Artificial Intelligence (AI),Machine Learning,Feature Engineering,Statistical Hypothesis Testing,Exploratory Data Analysis,",Joseph Santarcangelo,4.6stars,"1,164",Approx. 14 hours to complete,Coursera
"Penetration Testing, Incident Response and Forensics",https://www.coursera.org/learn/ibm-penetration-testing-incident-response-forensics,This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program. ,Information Technology,Security,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","scripting,forensics,Penetration Test,Cybersecurity,Computer Security Incident Management,",IBM Security Learning Services,4.6stars,"1,932",Approx. 15 hours to complete,Coursera
Version Control,https://www.coursera.org/learn/introduction-to-version-control,"Learn how modern software developers collaborate across the world without messing up each other's code. You will look at the different version control systems and how to create an effective software development workflow. You will be introduced to some of the most commonly used Linux commands that you can use to work with files on your hard drive and create powerful workflows that will automate your work, saving you time and effort. ",Computer Science,Mobile and Web Development,Course,English,Subtitles: English,"Linux,Web Development,Bash (Unix Shell),Github,Version Control,",Taught by Meta Staff,4.7stars,"1,498",Approx. 13 hours to complete,Coursera
Work Smarter with Microsoft Word,https://www.coursera.org/learn/microsoft-word-work-smarter,"This course is intended for learners with some experience using Microsoft Windows, who are seeking to build presentation skills with Microsoft Word. To be successful in this course you should have an understanding of the basics of using a Windows-based computer. Experience with printing and using a web browser are an asset, but not required.",Information Technology,Cloud Computing,Course,English,Subtitles: English,"Documents,Microsoft Word,",Microsoft,4.7stars,577,Approx. 30 hours to complete,Coursera
Arts and Heritage Management,https://www.coursera.org/learn/arts-heritage,"Today cultural institutions are facing important dilemmas in many aspects of their management. Over the past decades, a new figure has emerged that of the art manager. ",Business,Marketing,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Fundraising,Customer Relationship Management (CRM),Management,Marketing,",Andrea Rurale,4.8stars,"1,255",Approx. 16 hours to complete,Coursera
Innovation Management,https://www.coursera.org/learn/innovation-management,"What is innovation management? How do firms bring in new business models and get new products and services to the market? Go on a nine-week journey through innovation management concepts, theories of idea generation, selection, strategy formulation and implementation in this MOOC in Innovation Management. In it, you will also learn the tools for implementing innovation projects yourself. ",Business,Business Strategy,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Social Network,Management,Innovation,Innovation Management,",Jasmien Khattab,4.7stars,"1,854",Approx. 10 hours to complete,Coursera
Introduction to Spreadsheets and Models,https://www.coursera.org/learn/wharton-introduction-spreadsheets-models,"The simple spreadsheet is one of the most powerful data analysis tools that exists, and it’s available to almost anyone. Major corporations and small businesses alike use spreadsheet models to determine where key measures of their success are now, and where they are likely to be in the future. But in order to get the most out of a spreadsheet, you have the know-how to use it. This course is designed to give you an introduction to basic spreadsheet tools and formulas so that you can begin harness the power of spreadsheets to map the data you have now and to predict the data you may have in the future. Through short, easy-to-follow demonstrations, you’ll learn how to use Excel or Sheets so that you can begin to build models and decision trees in future courses in this Specialization. ",Business,Business Essentials,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Portuguese (Brazilian), Vietnamese, German, Russian, English, Spanish","Monte Carlo Method,Microsoft Excel,Linear Programming (LP),Solver,",Don Huesman,4.2stars,"3,680",Approx. 5 hours to complete,Coursera
Wind Energy,https://www.coursera.org/learn/wind-energy,"How tall is a modern wind turbine and how can it possibly generate power from the wind? This course gives an overview of key aspects in wind energy engineering. Whether you are looking for general insight in this green technology or your ambition is to pursue a career in wind energy engineering, 'Wind Energy' is an excellent starting point. ",Physical Science and Engineering,Mechanical Engineering,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Wind Energy,Materials,Wind Power,Wind Energy Engineering,",Ameya Sathe,4.7stars,"6,936",Approx. 35 hours to complete,Coursera
AI for Medical Diagnosis,https://www.coursera.org/learn/ai-for-medical-diagnosis,"AI is transforming the practice of medicine. It’s helping doctors diagnose patients more accurately, make predictions about patients’ future health, and recommend better treatments. As an AI practitioner, you have the opportunity to join in this transformation of modern medicine. If you're already familiar with some of the math and coding behind AI algorithms, and are eager to develop your skills further to tackle challenges in the healthcare industry, then this specialization is for you. No prior medical expertise is required! ",Data Science,Machine Learning,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Deep Learning,Image Segmentation,Machine Learning,model evaluation,Multi-class classification,",Pranav Rajpurkar,4.7stars,"1,825",Approx. 20 hours to complete,Coursera
Accounting: Principles of Financial Accounting,https://www.coursera.org/learn/financial-accounting,"Financial Accounting is often called the language of business; it is the language that managers use to communicate the firm's financial and economic information to external parties such as shareholders and creditors. Nobody working in business can afford financial illiteracy. Whether you run your own business, work as a manager or are just starting your career, you want to understand financial information and be able to interact with accountants, controllers, and financial managers. You want to talk business! ",Business,Finance,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Financial Accounting,Accounting,Financial Statement,Balance Sheet,",Marc Badia,4.8stars,"2,825",Approx. 12 hours to complete,Coursera
Write Your First Novel,https://www.coursera.org/learn/write-your-first-novel,WRITE YOUR FIRST NOVEL,Arts and Humanities,Music and Art,Course,English,"Subtitles: Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Portuguese (Brazilian), Vietnamese, German, Urdu, Russian, English, Spanish","Creative Writing,Novel Writing,Story Telling,",David Wheeler,4.2stars,259,Approx. 127 hours to complete,Coursera
Social Media Management ,https://www.coursera.org/learn/social-media-management,"This course equips you with critical content creation and management skills. You’ll learn how to create effective social media posts and how to create a strong brand to help you build a social media presence. You’ll also learn how to establish an ongoing process to manage your content. This includes setting up a content calendar, managing and moderating your posts, analyzing data for insights and iteration, and how to increase post effectiveness. You will end the course with real-world application of your skills through a content management project.",Business,Marketing,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Portuguese (Brazilian), Vietnamese, German, Russian, English, Spanish","Content Development,content management,Social Media Marketing,Content Marketing,Marketing Content Development,",Anke Audenaert,4.9stars,"3,963",Approx. 11 hours to complete,Coursera
"Decisions, Decisions: Dashboards and Reports",https://www.coursera.org/learn/decisions-decisions-dashboards-and-reports,"You’re almost there! This is the third and final course in the Google Business Intelligence Certificate. In this course, you’ll apply your understanding of stakeholder needs, plan and create BI visuals, and design reporting tools, including dashboards. You’ll also explore how to answer business questions with flexible and interactive dashboards that can monitor data over long periods of time.",Data Science,Data Analysis,Course,English,Subtitles: English,"Presenting Data Insights,Tableau Software,Data Visualization (DataViz),Effective Communication,Dashboarding and Reporting,",Google Career Certificates,4.8stars,52,Approx. 27 hours to complete,Coursera
COVID-19 Contact Tracing,https://www.coursera.org/learn/covid-19-contact-tracing,"The COVID-19 crisis has created an unprecedented need for contact tracing across the country, requiring thousands of people to learn key skills quickly. The job qualifications for contact tracing positions differ throughout the country and the world, with some new positions open to individuals with a high school diploma or equivalent. ",Health,Public Health,Course,English,"Subtitles: Chinese (Traditional), Arabic, French, Portuguese (European), Italian, Portuguese (Brazilian), Vietnamese, Korean, German, Russian, Indonesian, English, Spanish, Nepali","Ethics,Active Listening,Public Health,Contact Tracing,Epidemiology,","Emily Gurley, PhD, MPH",4.9stars,"94,844",Approx. 6 hours to complete,Coursera
Camino a la Excelencia en Gestión de Proyectos,https://www.coursera.org/learn/camino-excelencia-gestion-proyectos,"El curso “Camino a la excelencia en gestión de proyectos” describe los tres principales componentes de Lean Project Management (Gestión de Proyectos sin Pérdidas), estos son: (1) La filosofía de producción lean, la que proveniente de la industria automotriz japonesa, revisaremos sus principios fundamentales y cómo se ha adaptado a otras industrias. (2) El cambio cultural,  la implementación de lean depende de las personas y veremos qué características son necesarias para la excelencia en gestión de proyectos y qué condiciones contractuales ayudan a generar una mejor cultura. (3) La tecnología, veremos métodos y técnicas lean tales cómo mapeo de la cadena de valor, sistema de planificación el último planificador, entre otros. Finalmente, este curso entrega los conceptos básicos y permite la ejercitación de estos conceptos para caminar hacia la excelencia en gestión de proyectos.",Business,Leadership and Management,Course,Spanish,Subtitles: Spanish,"Lean Project Management,Value Stream Mapping,Lean Manufacturing,Legal Project Management,",Paz Arroyo,4.7stars,"6,297",Approx. 7 hours to complete,Coursera
Introduction to Hardware and Operating Systems,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems,"If you’re ready to enter the world of Information Technology (IT), you need job-ready skills. This course provides the core hardware and operating system knowledge needed by anyone new to IT and computer hardware who wants to start a new career in technology, including IT Support, Networking, Cybersecurity, and Software Development. ",Information Technology,Support and Operations,Course,English,Subtitles: English,"Technical Support,IT Service Management (ITSM),Troubleshooting,IT Career,",Skills Network,4.8stars,563,Approx. 17 hours to complete,Coursera
Introduction to Embedded Systems Software and Development Environments,https://www.coursera.org/learn/introduction-embedded-systems,"Welcome to the Introduction to Embedded Systems Software and Development Environments. This course is focused on giving you real world coding experience and hands on project work with ARM based Microcontrollers. You will learn how to implement software configuration management and develop embedded software applications. Course assignments include creating a build system using the GNU Toolchain GCC, using Git version control, and developing software in Linux on a Virtual Machine. The course concludes with a project where you will create your own build system and firmware that can manipulate memory.",Physical Science and Engineering,Electrical Engineering,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Makefile,C Programming,Embedded C,",Alex Fosdick,4.5stars,569,Approx. 9 hours to complete,Coursera
Introduction to Financial Engineering and Risk Management,https://www.coursera.org/learn/financial-engineering-intro,"Introduction to Financial Engineering and Risk Management course belongs to the Financial Engineering and Risk Management Specialization and it provides a fundamental introduction to fixed income securities, derivatives and the respective pricing models. The first module gives an overview of the prerequisite concepts and rules in probability and optimization. This will prepare learners with the mathematical fundamentals for the course. The second module includes concepts around fixed income securities and their derivative instruments. We will introduce present value (PV) computation on fixed income securities in an arbitrage free setting, followed by a brief discussion on term structure of interest rates. In the third module, learners will engage with swaps and options, and price them using the 1-period Binomial Model. The final module focuses on option pricing in a multi-period setting, using the Binomial and the Black-Scholes Models. Subsequently, the multi-period Binomial Model will be illustrated using American Options, Futures, Forwards and assets with dividends.",Business,Finance,Course,English,"Subtitles: English, Korean","Derivatives,Swaps and options,Fixed Income,Binomial Distribution,black scholes model,",Garud Iyengar,4.5stars,114,Approx. 17 hours to complete,Coursera
English for Business and Entrepreneurship,https://www.coursera.org/learn/business,"Welcome to English for Business and Entrepreneurship, a course created by the University of Pennsylvania, and funded by the U.S. Department of State Bureau of Educational and Cultural Affairs, Office of English Language Programs. ",Language Learning,Learning English,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish","Business Plan,Market Research,English Language,Entrepreneurship,",Amy Nichols,4.8stars,"4,491",Approx. 31 hours to complete,Coursera
Natural Language Processing with Sequence Models,https://www.coursera.org/learn/sequence-models-in-nlp,"In Course 3 of the Natural Language Processing Specialization, you will:",Data Science,Machine Learning,Course,English,"Subtitles: English, Japanese","Word Embedding,Sentiment with Neural Nets,Siamese Networks,Natural Language Generation,Named-Entity Recognition,",Younes Bensouda Mourri,4.5stars,"1,006",Approx. 24 hours to complete,Coursera
Design Thinking for the Greater Good: Innovation in the Social Sector,https://www.coursera.org/learn/uva-darden-design-thinking-social-sector,"Do you work for a nonprofit or in the social sector? Are you struggling to solve the problems and meet the needs of the people you serve? Come learn more about how design thinking, a human-centered approach to problem solving, can help you truly understand an issue, generate ideas worth testing and iterate to find solutions that make a real difference. Through global stories from areas as diverse as government, health care, and education, we’ll show you the tools, techniques and mindset needed to use design thinking to uncover new and creative solutions in the social sector.",Social Sciences,Education,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Prototyping,Problem Solving,User-Centered Design,Design Thinking,Social Issues,",Jeanne M. Liedtka,4.7stars,390,Approx. 8 hours to complete,Coursera
What is Compliance?,https://www.coursera.org/learn/what-is-compliance,"Compliance isn’t only about preventing problems and ensuring that everyone is abiding by laws, rules, and regulations.  It’s also about the positive impact a robust and ethical compliance program can have on a business or organization.",Business,Business Essentials,Course,English,"Subtitles: French, Ukrainian, Portuguese (European), Russian, English, Spanish","Risk Management,Brand Management,Strategic Planning,Compliance,",Andrew Kandel,4.8stars,"1,049",Approx. 10 hours to complete,Coursera
Hands-on Introduction to Linux Commands and Shell Scripting,https://www.coursera.org/learn/hands-on-introduction-to-linux-commands-and-shell-scripting,"This course provides a practical introduction to Linux and commonly used Linux / UNIX shell commands.  It teaches you the basics of Bash shell scripting to automate a variety of tasks. The course includes both video-based lectures as well as hands-on labs to practice and apply what you learn. You will have no-charge access to a virtual Linux server that you can access through your web browser, so you don't need to download and install anything to perform the labs.",Computer Science,Software Development,Course,English,Subtitles: English,"Shell Script,Bash (Unix Shell),Linux,",Rav Ahuja,4.6stars,673,Approx. 12 hours to complete,Coursera
Getting Started with AI using IBM Watson,https://www.coursera.org/learn/ai-with-ibm-watson,"In this course you will learn how to quickly and easily get started with Artificial Intelligence using IBM Watson. You will understand how Watson works, become familiar with its use cases and real life client examples, and be introduced to several of Watson AI services from IBM that enable anyone to easily apply AI and build smart apps. You will also work with several Watson services to demonstrate AI in action.",Data Science,Machine Learning,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish","Deep Learning,Application Programming Interfaces (API),Artificial Intelligence (AI),Machine Learning,watson,",Rav Ahuja,4.5stars,"2,666",Approx. 9 hours to complete,Coursera
Microsoft Power Platform Fundamentals,https://www.coursera.org/learn/microsoft-power-platform-fundamentals,"In this course, you will learn the business value and product capabilities of Power Platform. You will create simple Power Apps, connect data with Microsoft Dataverse, build a Power BI Dashboard, automate a process with Power Automate, and build a chatbot with Power Virtual Agents.  ",Information Technology,Cloud Computing,Course,English,Subtitles: English,"Data Analysis,Business Process,Data Visualization (DataViz),power bi,Chatbot,",Microsoft,4.3stars,53,Approx. 25 hours to complete,Coursera
Machine Learning Introduction for Everyone,https://www.coursera.org/learn/machine-learning-introduction-for-everyone,"This three-module course introduces machine learning and data science for everyone with a foundational understanding of machine learning models. You’ll learn about the history of machine learning, applications of machine learning, the machine learning model lifecycle, and tools for machine learning. You’ll also learn about supervised versus unsupervised learning, classification, regression, evaluating machine learning models, and more. Our labs give you hands-on experience with these machine learning and data science concepts. You will develop concrete machine learning skills as well as create a final project demonstrating your proficiency. ",Data Science,Machine Learning,Course,English,Subtitles: English,"Deep Learning,Artificial Intelligence (AI),Machine Learning,Reinforcement Learning,Machine Learning Model Lifecycle,",Aije Egwaikhide,4.5stars,112,Approx. 7 hours to complete,Coursera
Financing and Investing in Infrastructure,https://www.coursera.org/learn/infrastructure-investing,Learn how debt and equity can be used to finance infrastructure investments and how investors approach infrastructure investments! ,Business,Finance,Course,English,"Subtitles: French, Portuguese (European), Russian, English, Spanish","Capital Budgeting,Risk Analysis,Project,Finance,",Stefano Gatti,4.8stars,"1,808",Approx. 11 hours to complete,Coursera
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",https://www.coursera.org/learn/algorithms-divide-conquer,"The primary topics in this part of the specialization are: asymptotic (""Big-oh"") notation, sorting and searching, divide and conquer (master method, integer and matrix multiplication, closest pair), and randomized algorithms (QuickSort, contraction algorithm for min cuts).",Computer Science,Algorithms,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Algorithms,Randomized Algorithm,Sorting Algorithm,Divide And Conquer Algorithms,",Tim Roughgarden,4.8stars,"5,050",Approx. 16 hours to complete,Coursera
Modern Art & Ideas,https://www.coursera.org/learn/modern-art-ideas,"Welcome to Modern Art & Ideas! This course is designed for anyone interested in learning more about modern and contemporary art. Over the next five weeks, you will look at art through a variety of themes: Places & Spaces, Art & Identity, Transforming Everyday Objects, and Art & Society. Each week kicks off with a video that connects works of art from The Museum of Modern Art’s collection to the theme. You will hear audio interviews with artists, designers, and curators and learn more about selected works in the additional readings and resources.",Arts and Humanities,Music and Art,Course,English,"Subtitles: Arabic, French, Portuguese (European), Greek, Italian, Portuguese (Brazilian), Vietnamese, German, Russian, Turkish, English, Spanish, Persian, Hungarian","Creativity,Art,History,Art History,Art Direction,",Lisa Mazzola,4.8stars,"6,097",Approx. 13 hours to complete,Coursera
Fundamentals of Technology Sales,https://www.coursera.org/learn/fundamentals-of-technology-sales,"With tens of thousands of jobs in technology sales available, this is a rapidly emerging opportunity that needs sharp people to make critical connections between technical solutions and technical buyers, company owners, and decision-makers. The rapid growth in artificial intelligence, blockchain, cloud computing, cyber security, Internet of Things, and more requires effective sales professionals to help bring these products and services to market.",Business,Business Essentials,Course,English,Subtitles: English,"Sales Development,Sales Management,Sales Strategy,Sales,Sales Presentation,",Dr. James V. Green,4.8stars,45,Approx. 4 hours to complete,Coursera
Creative Writing: The Craft of Plot,https://www.coursera.org/learn/craft-of-plot,"In this course aspiring writers will be introduced to perhaps the most elemental and often the most challenging element of story: plot.  We will learn what keeps it moving, how it manipulates our feelings, expectations, and desires.  We will examine the choices storytellers make to snag our imaginations, drag them into a fictional world, and keep them there. We will learn how to outline and structure a plot, discuss narrative arc, pacing and reversals and reveal the inevitable surprise: connecting the beginning, middle and end.",Arts and Humanities,Music and Art,Course,English,"Subtitles: Arabic, French, Portuguese (European), Serbian, Italian, Vietnamese, German, Russian, English, Spanish, Hungarian, Polish","Short Story Writing,Fiction Writing,Creativity,Copy Editing,",Brando Skyhorse,4.7stars,"4,547",Approx. 5 hours to complete,Coursera
Miracles of Human Language: An Introduction to Linguistics,https://www.coursera.org/learn/human-language,"Everywhere, every day, everybody uses language. There is no human society, no matter how small or how isolated, which does not employ a language that is rich and diverse. This course introduces you to linguistics, featuring interviews with well-known linguists and with speakers of many different languages. Join us to explore the miracles of human language!",Language Learning,Other Languages,Course,English,"Subtitles: Arabic, French, Portuguese (European), Greek, Italian, Vietnamese, Bulgarian, German, Russian, Turkish, English, Spanish, Romanian","Essay Writing,History,English Language,Chinese Language,",Marc van Oostendorp,4.7stars,"2,273",Approx. 23 hours to complete,Coursera
Liabilities and Equity in Accounting,https://www.coursera.org/learn/liabilities-equity-in-accounting,"In this third course, you will learn about liability and equity accounts and its effect on the balance sheet. If you have mastered bookkeeping basics and understand accounting assets, you are ready to jump into Liabilities and Equity in Accounting. You will explore the various types of liability, including: current and long term, payroll, and sales tax. Additionally, you will learn about the equity portion of the accounting equation and how to account for changes in owner’s equity. ",Business,Business Essentials,Course,English,Subtitles: English,"Accounts Payable and Payroll,Owner’s Equity and Owner’s Draw,Accounting,Long-Term Liabilities and Note Payable,Accounting for Liabilities and Equity,",Intuit Academy Team,4.2stars,384,Approx. 13 hours to complete,Coursera
Biology Meets Programming: Bioinformatics for Beginners,https://www.coursera.org/learn/bioinformatics,Are you interested in learning how to program (in Python) within a scientific setting?,Health,Health Informatics,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Portuguese (Brazilian), Vietnamese, German, Russian, English, Spanish","Bioinformatics,Bioinformatics Algorithms,Biology,Python Programming,",Pavel  Pevzner,4.2stars,"1,428",Approx. 18 hours to complete,Coursera
The Business of Product Management I,https://www.coursera.org/learn/the-business-of-product-management-one,"Learn to excel in product management roles while learning directly from industry-leading product managers and real-world case studies from Amazon, Intuit, Procter and Gamble, Barnes and Noble, Whole Foods, Google, Twitter, Tesla, Dropbox, Eventbrite, Blue, Samson, Coffee Meets Bagel, Mixpanel, and more!",Business,Leadership and Management,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Go-to-market Strategy,Product/Market Fit,Tech Leadership,B2B Sales,Product Management,",Nancy Wang,4.5stars,643,Approx. 15 hours to complete,Coursera
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,https://www.coursera.org/learn/autodesk-autocad-design-drafting,"Prove to potential employers that you’re up to the task by becoming an Autodesk Certified Professional. This online course from Autodesk prepares you by offering an overview of skills that match what is covered in the Autodesk Certified Professional: AutoCAD for Design and Drafting exam. The video lessons are structured to match the exam’s objective domains and follow the typical workflow and features of the AutoCAD software, including sections on drawing and organizing objects, drawing with accuracy, advanced editing functions, layouts, printing, and outputs, annotation techniques, and reusable content and drawing management. In the course, you will create drawing objects, manage layers, apply object snaps, and work with the User Coordinate System. You’ll edit objects and apply rotation and scale, array techniques, grip editing, offsets, fillet and chamfer, and trim and extend. You will also gain an understanding of exam topics such as layouts and viewports, output formats, and drawing management. Brush up on markup tools, hatch and fill, text, tables, multileaders, dimensioning, and much more.",Physical Science and Engineering,Mechanical Engineering,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Autocad,Design,Autodesk,Engineering,Computer-Aided Design (CAD),",Autodesk,4.7stars,"2,400",Approx. 18 hours to complete,Coursera
Solar Energy Basics,https://www.coursera.org/learn/solar-energy-basics,"This course gives you an introduction to the fundamentals of solar power as it applies to solar panel system installations. You will learn to compare solar energy to other energy resources and explain how solar panels, or photovoltaics (PV for short), convert sunlight to electricity.  You will be able to identify the key components needed in a basic photovoltaic (solar panel) system, such as is found on a house or building, and explain the function of each component in the system. You will also learn how to calculate the electrical demand of a building, how to reduce the overall demand, and then how to design a solar panel system that can meet that annual demand at a given location. You will also compare the different types of pricing models that are being used and key regulatory considerations for grid tied systems (where a house or building is connected to the electrical grid and also generates electricity from solar panels). A capstone design project that entails both the simple audit of a building to determine demand, and a selection of components to design a solar panel system to meet that demand.",Physical Science and Engineering,Environmental Science and Sustainability,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Renewable Energy,Power & energy calculations,Electronic Circuits,Solar Energy,Energy Audits,",Neal Abrams,4.8stars,"2,225",Approx. 15 hours to complete,Coursera
Learning to Teach Online,https://www.coursera.org/learn/teach-online,Are you an educator? Have you ever wanted to understand more about how to design your class to make better use of educational technology – whether fully online or in blended contexts? Would you like to learn from those who have extensive practical experience with online technologies? ,Social Sciences,Education,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Teaching,Online Learning,Evaluation,Planning,",Associate Professor Simon McIntyre,4.7stars,"2,913",Approx. 17 hours to complete,Coursera
Introduction to Deep Learning & Neural Networks with Keras,https://www.coursera.org/learn/introduction-to-deep-learning-with-keras,"Looking to start a career in Deep Learning? Look no further. This course will introduce you to the field of deep learning and help you answer many questions that people are asking nowadays, like what is deep learning, and how do deep learning models compare to artificial neural networks? You will learn about the different deep learning models and build your first deep learning model using the Keras library.",Data Science,Machine Learning,Course,English,"Subtitles: French, Portuguese (European), Russian, English, Spanish","Deep Learning,Artificial Neural Network,Artificial Intelligence (AI),Machine Learning,keras,",Alex Aklson,4.7stars,"1,258",Approx. 8 hours to complete,Coursera
Network Security & Database Vulnerabilities ,https://www.coursera.org/learn/network-security-database-vulnerabilities,"This course gives you the background needed to understand basic network security.  You will learn the about Local Area Networks, TCP/IP, the OSI Framework and routing basics.  You will learn how networking affects security systems within an organization.  You will learn the network components that guard an organization from cybersecurity attacks.",Information Technology,Security,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","database vulnerabilities,Network Security,Sql Injection,Cybersecurity,networking basics,",IBM Security Learning Services,4.7stars,"2,808",Approx. 14 hours to complete,Coursera
